INDEX,Y_ARG,Y_T
129697,(AM-MED*,AM-MED
129698,*),AM-MED
129699,(AM-ADV*,AM-ADV
129700,*,AM-ADV
129701,*,AM-ADV
129702,*),AM-ADV
129703,(AM-PRD*,AM-PRD
129704,*,AM-PRD
129705,*,AM-PRD
129706,*),AM-PRD
129707,(AM-MED*),AM-MED
129708,(C-V*),C-V
129709,(AM-PRD*),AM-PRD
129710,(C-V*),C-V
129711,(AM-PRD*),AM-PRD
129712,(C-V*),C-V
129713,(AM-PRD*),AM-PRD
129714,(C-V*),C-V
129715,(AM-PRD*),AM-PRD
129716,(C-V*),C-V
129717,(AM-PRD*),AM-PRD
129718,(C-V*),C-V
129719,(AM-PRD*),AM-PRD
129720,(C-V*),C-V
129721,(AM-PRD*),AM-PRD
129722,(C-V*),C-V
129723,(AM-PRD*),AM-PRD
129724,(C-V*),C-V
129725,(AM-MED*),AM-MED
129726,(C-V*,C-V
129727,*),C-V
129728,(AM-PRD*),AM-PRD
129729,(C-V*),C-V
129730,(AM-PRD*),AM-PRD
129731,(C-V*),C-V
129732,(AM-PRD*),AM-PRD
129733,(C-V*),C-V
129734,(AM-PRD*),AM-PRD
129735,(C-V*,C-V
129736,*),C-V
129737,(AM-PRD*),AM-PRD
129738,(AM-MED*,AM-MED
129739,*,AM-MED
129740,*,AM-MED
129741,*,AM-MED
129742,*,AM-MED
129743,*,AM-MED
129744,*,AM-MED
129745,*),AM-MED
129746,(C-AM-ADV*),C-AM-ADV
129747,(AM-MED*),AM-MED
129748,(C-AM-ADV*,C-AM-ADV
129749,*),C-AM-ADV
129750,(AM-MED*,AM-MED
129751,*,AM-MED
129752,*,AM-MED
129753,*),AM-MED
129754,(C-V*),C-V
129755,(AM-PRD*),AM-PRD
129756,(C-V*),C-V
129757,(AM-PRD*),AM-PRD
129758,(C-V*),C-V
129759,(AM-PRD*),AM-PRD
129760,(C-V*),C-V
129761,(AM-PRD*),AM-PRD
129762,(C-V*),C-V
129763,(AM-PRD*),AM-PRD
129764,(C-V*),C-V
129765,(AM-PRD*),AM-PRD
129766,(C-V*),C-V
129767,(AM-PRD*),AM-PRD
129768,(C-V*),C-V
129769,(AM-LOC*),AM-LOC
129770,(A5*),A5
129771,(AM-LOC*),AM-LOC
129772,(A5*),A5
129773,(AM-LOC*),AM-LOC
129774,(A5*),A5
129775,(AM-LOC*),AM-LOC
129776,(A5*),A5
129777,(AM-LOC*),AM-LOC
129778,(C-V*),C-V
129779,(AM-PRD*),AM-PRD
129780,(C-V*),C-V
129781,(AM-PRD*),AM-PRD
129782,(C-V*),C-V
129783,(C-AM-ADV*),C-AM-ADV
129784,(AM-PRD*),AM-PRD
129785,(C-V*),C-V
129786,(AM-PRD*),AM-PRD
129787,(C-V*),C-V
129788,(AM-PRD*),AM-PRD
129789,(C-V*),C-V
129790,(AM-PRD*),AM-PRD
129791,(C-V*),C-V
129792,(AM-PRD*),AM-PRD
129793,(C-V*),C-V
129794,(AM-PRD*),AM-PRD
129795,(C-V*),C-V
129796,(AM-PRD*),AM-PRD
129797,(C-V*),C-V
129798,(AM-PRD*),AM-PRD
129799,(C-V*),C-V
129800,(AM-PRD*),AM-PRD
129801,(C-V*),C-V
129802,(AM-PRD*),AM-PRD
129803,(C-V*),C-V
129804,(AM-PRD*),AM-PRD
129805,(C-V*),C-V
129806,(AM-PRD*),AM-PRD
129807,(C-V*),C-V
129808,(AM-PRD*),AM-PRD
129809,(C-V*),C-V
129810,(AM-PRD*),AM-PRD
129811,(C-V*),C-V
129812,(AM-MED*,AM-MED
129813,*),AM-MED
129814,(AM-PRD*,AM-PRD
129815,*,AM-PRD
129816,*,AM-PRD
129817,*,AM-PRD
129818,*),AM-PRD
129819,(C-V*),C-V
129820,(AM-PRD*),AM-PRD
129821,(C-V*),C-V
129822,(AM-PRD*),AM-PRD
129823,(C-V*),C-V
129824,(AM-PRD*),AM-PRD
129825,(C-V*),C-V
129826,(AM-PRD*),AM-PRD
129827,(C-V*),C-V
129828,(AM-PRD*),AM-PRD
129829,(C-V*),C-V
129830,(AM-PRD*),AM-PRD
129831,(C-V*),C-V
129832,(AM-PRD*),AM-PRD
129833,(C-V*,C-V
129834,*),C-V
129835,(AM-PRD*),AM-PRD
129836,(AM-MED*),AM-MED
129837,(C-V*),C-V
129838,(AM-PRD*),AM-PRD
129839,(C-V*),C-V
129840,(AM-PRD*),AM-PRD
129841,(C-V*),C-V
129842,(AM-PRD*),AM-PRD
129843,(C-V*),C-V
129844,(AM-PRD*),AM-PRD
129845,(C-V*),C-V
129846,(AM-PRD*),AM-PRD
129847,(C-V*),C-V
129848,(AM-PRD*),AM-PRD
129849,(C-V*),C-V
129850,(AM-PRD*),AM-PRD
129851,(C-V*),C-V
129852,(AM-PRD*),AM-PRD
129853,(C-V*),C-V
129854,(AM-PRD*),AM-PRD
129855,(C-V*),C-V
129856,(AM-PRD*),AM-PRD
129857,(C-V*),C-V
129858,(AM-PRD*),AM-PRD
129859,(AM-MED*),AM-MED
129860,(C-V*,C-V
129861,*,C-V
129862,*),C-V
129863,(AM-PRD*),AM-PRD
129864,(C-V*),C-V
129865,(AM-PRD*),AM-PRD
129866,(C-V*),C-V
129867,(AM-PRD*),AM-PRD
129868,(C-V*),C-V
129869,(AM-PRD*),AM-PRD
129870,(C-V*),C-V
129871,(AM-PRD*),AM-PRD
129872,(C-V*),C-V
129873,(AM-PRD*),AM-PRD
129874,(C-V*),C-V
129875,(AM-PRD*),AM-PRD
129876,(C-AM-LOC*),C-AM-LOC
129877,(C-V*),C-V
129878,(AM-PRD*),AM-PRD
129879,(AM-MED*),AM-MED
129880,(AM-PRD*),AM-PRD
129881,(C-V*),C-V
129882,(AM-PRD*),AM-PRD
129883,(C-V*),C-V
129884,(AM-PRD*),AM-PRD
129885,(C-V*),C-V
129886,(AM-PRD*),AM-PRD
129887,(C-V*),C-V
129888,(AM-PRD*),AM-PRD
129889,(C-V*),C-V
129890,(AM-PRD*),AM-PRD
129891,(C-V*),C-V
129892,(AM-PRD*),AM-PRD
129893,(C-V*),C-V
129894,(AM-PRD*),AM-PRD
129895,(C-V*),C-V
129896,(AM-PRD*),AM-PRD
129897,(C-V*),C-V
129898,(AM-PRD*),AM-PRD
129899,(AM-MED*),AM-MED
129900,(AM-PRD*),AM-PRD
129901,(C-V*),C-V
129902,(AM-PRD*),AM-PRD
129903,(C-V*),C-V
129904,(AM-PRD*),AM-PRD
129905,(C-V*),C-V
129906,(AM-PRD*),AM-PRD
129907,(C-V*),C-V
129908,(AM-PRD*),AM-PRD
129909,(C-V*),C-V
129910,(AM-PRD*),AM-PRD
129911,(C-V*),C-V
129912,(AM-PRD*),AM-PRD
129913,(C-V*),C-V
129914,(AM-PRD*),AM-PRD
129915,(C-V*),C-V
129916,(AM-PRD*),AM-PRD
129917,(C-V*),C-V
129918,(AM-PRD*),AM-PRD
129919,(AM-MED*),AM-MED
129920,(AM-PRD*),AM-PRD
129921,(C-V*),C-V
129922,(AM-PRD*),AM-PRD
129923,(C-V*),C-V
129924,(AM-PRD*),AM-PRD
129925,(C-V*),C-V
129926,(AM-PRD*),AM-PRD
129927,(C-V*),C-V
129928,(AM-PRD*),AM-PRD
129929,(C-V*),C-V
129930,(AM-PRD*),AM-PRD
129931,(C-V*),C-V
129932,(AM-PRD*),AM-PRD
129933,(C-V*),C-V
129934,(AM-LOC*),AM-LOC
129935,(A5*),A5
129936,(AM-LOC*),AM-LOC
129937,(A5*),A5
129938,(AM-LOC*),AM-LOC
129939,(AM-PRD*),AM-PRD
129940,(C-V*),C-V
129941,(AM-PRD*),AM-PRD
129942,(C-V*),C-V
129943,(AM-PRD*),AM-PRD
129944,(C-V*),C-V
129945,(AM-PRD*),AM-PRD
129946,(C-V*),C-V
129947,(AM-MED*),AM-MED
129948,(AM-PRD*,AM-PRD
129949,*),AM-PRD
129950,(C-V*),C-V
129951,(AM-PRD*),AM-PRD
129952,(C-V*),C-V
129953,(AM-PRD*),AM-PRD
129954,(C-V*),C-V
129955,(AM-PRD*),AM-PRD
129956,(AM-MED*,AM-MED
129957,*),AM-MED
129958,(C-AM-PNC*),C-AM-PNC
129959,(AM-PRD*),AM-PRD
129960,(C-V*),C-V
129961,(AM-PRD*),AM-PRD
129962,(C-V*),C-V
129963,(AM-PRD*),AM-PRD
129964,(C-V*),C-V
129965,(AM-PRD*),AM-PRD
129966,(C-V*),C-V
129967,(AM-PRD*),AM-PRD
129968,(C-V*),C-V
129969,(AM-PRD*),AM-PRD
129970,(C-V*),C-V
129971,(AM-PRD*),AM-PRD
129972,(AM-MED*),AM-MED
129973,(AM-MED*,AM-MED
129974,*,AM-MED
129975,*,AM-MED
129976,*),AM-MED
129977,(AM-PRD*,AM-PRD
129978,*,AM-PRD
129979,*),AM-PRD
129980,(AM-MED*,AM-MED
129981,*,AM-MED
129982,*),AM-MED
129983,(C-V*),C-V
129984,(AM-PRD*),AM-PRD
129985,(C-V*),C-V
129986,(AM-PRD*),AM-PRD
129987,(C-V*),C-V
129988,(AM-PRD*),AM-PRD
129989,(C-V*,C-V
129990,*),C-V
129991,(AM-MED*,AM-MED
129992,*),AM-MED
129993,(AM-PRD*),AM-PRD
129994,(C-V*),C-V
129995,(AM-PRD*),AM-PRD
129996,(C-V*),C-V
129997,(AM-PRD*),AM-PRD
129998,(C-V*),C-V
129999,(AM-PRD*),AM-PRD
130000,(C-V*),C-V
130001,(AM-PRD*),AM-PRD
130002,(C-V*),C-V
130003,(AM-PRD*),AM-PRD
130004,(C-V*),C-V
130005,(AM-PRD*),AM-PRD
130006,(C-AM-LOC*),C-AM-LOC
130007,(C-V*),C-V
130008,(AM-PRD*),AM-PRD
130009,(C-AM-LOC*),C-AM-LOC
130010,(AM-PRD*),AM-PRD
130011,(AM-MED*),AM-MED
130012,(C-V*),C-V
130013,(AM-PRD*),AM-PRD
130014,(C-V*),C-V
130015,(AM-PRD*),AM-PRD
130016,(C-V*),C-V
130017,(AM-PRD*),AM-PRD
130018,(C-V*),C-V
130019,(AM-PRD*),AM-PRD
130020,(C-V*),C-V
130021,(AM-PRD*),AM-PRD
130022,(C-V*),C-V
130023,(AM-PRD*),AM-PRD
130024,(C-V*),C-V
130025,(AM-PRD*),AM-PRD
130026,(C-V*),C-V
130027,(AM-PRD*),AM-PRD
130028,(C-V*),C-V
130029,(AM-PRD*),AM-PRD
130030,(AM-MED*),AM-MED
130031,(AM-MED*),AM-MED
130032,(AM-PRD*),AM-PRD
130033,(C-V*),C-V
130034,(AM-PRD*),AM-PRD
130035,(C-V*),C-V
130036,(AM-PRD*),AM-PRD
130037,(C-V*),C-V
130038,(AM-PRD*),AM-PRD
130039,(C-V*),C-V
130040,(AM-PRD*),AM-PRD
130041,(C-V*),C-V
130042,(AM-PRD*),AM-PRD
130043,(C-V*),C-V
130044,(AM-PRD*),AM-PRD
130045,(A1*),A1
130046,(AM-PRD*),AM-PRD
130047,(C-V*),C-V
130048,(AM-PRD*),AM-PRD
130049,(C-AM-LOC*),C-AM-LOC
130050,(C-V*),C-V
130051,(AM-PRD*),AM-PRD
130052,(C-AM-LOC*),C-AM-LOC
130053,(AM-PRD*),AM-PRD
130054,(AM-MED*),AM-MED
130055,(C-V*),C-V
130056,(AM-PRD*),AM-PRD
130057,(C-V*),C-V
130058,(AM-PRD*),AM-PRD
130059,(C-V*),C-V
130060,(AM-PRD*),AM-PRD
130061,(C-V*),C-V
130062,(AM-PRD*),AM-PRD
130063,(C-V*),C-V
130064,(AM-PRD*),AM-PRD
130065,(C-V*),C-V
130066,(AM-PRD*),AM-PRD
130067,(C-V*),C-V
130068,(AM-PRD*),AM-PRD
130069,(C-V*),C-V
130070,(AM-PRD*),AM-PRD
130071,(C-V*),C-V
130072,(AM-PRD*),AM-PRD
130073,(C-V*),C-V
130074,(AM-PRD*),AM-PRD
130075,(C-V*),C-V
130076,(AM-PRD*),AM-PRD
130077,(C-V*),C-V
130078,(AM-MED*),AM-MED
130079,(AM-PRD*),AM-PRD
130080,(C-V*),C-V
130081,(AM-PRD*),AM-PRD
130082,(C-V*),C-V
130083,(AM-PRD*),AM-PRD
130084,(C-V*),C-V
130085,(AM-PRD*),AM-PRD
130086,(C-V*),C-V
130087,(AM-PRD*),AM-PRD
130088,(C-V*),C-V
130089,(AM-PRD*),AM-PRD
130090,(C-V*),C-V
130091,(AM-PRD*),AM-PRD
130092,(C-V*),C-V
130093,(AM-MED*),AM-MED
130094,(AM-PRD*),AM-PRD
130095,(AM-MED*),AM-MED
130096,(AM-PRD*),AM-PRD
130097,(C-V*),C-V
130098,(AM-PRD*),AM-PRD
130099,(C-V*),C-V
130100,(AM-PRD*),AM-PRD
130101,(C-V*),C-V
130102,(AM-PRD*),AM-PRD
130103,(C-V*),C-V
130104,(AM-PRD*),AM-PRD
130105,(C-AM-LOC*),C-AM-LOC
130106,(C-AM-ADV*),C-AM-ADV
130107,(AM-PRD*),AM-PRD
130108,(AM-MED*),AM-MED
130109,(AM-PRD*),AM-PRD
130110,(C-V*),C-V
130111,(AM-PRD*),AM-PRD
130112,(C-V*),C-V
130113,(AM-PRD*),AM-PRD
130114,(C-V*),C-V
130115,(AM-PRD*),AM-PRD
130116,(C-V*),C-V
130117,(AM-PRD*),AM-PRD
130118,(C-V*),C-V
130119,(AM-PRD*,AM-PRD
130120,*),AM-PRD
130121,(AM-MED*),AM-MED
130122,(C-V*),C-V
130123,(AM-PRD*),AM-PRD
130124,(C-V*),C-V
130125,(AM-PRD*),AM-PRD
130126,(C-V*),C-V
130127,(AM-PRD*),AM-PRD
130128,(C-V*),C-V
130129,(AM-PRD*),AM-PRD
130130,(C-V*),C-V
130131,(AM-PRD*),AM-PRD
130132,(C-V*),C-V
130133,(AM-PRD*),AM-PRD
130134,(AM-MED*),AM-MED
130135,(C-V*),C-V
130136,(AM-PRD*),AM-PRD
130137,(C-V*),C-V
130138,(AM-PRD*),AM-PRD
130139,(C-V*),C-V
130140,(AM-PRD*),AM-PRD
130141,(C-V*),C-V
130142,(AM-PRD*),AM-PRD
130143,(C-V*),C-V
130144,(AM-PRD*),AM-PRD
130145,(C-V*),C-V
130146,(AM-PRD*),AM-PRD
130147,(C-V*),C-V
130148,(AM-PRD*),AM-PRD
130149,(C-V*),C-V
130150,(AM-PRD*),AM-PRD
130151,(C-V*),C-V
130152,(AM-PRD*),AM-PRD
130153,(C-V*),C-V
130154,(AM-PRD*),AM-PRD
130155,(AM-MED*),AM-MED
130156,(C-AM-PNC*),C-AM-PNC
130157,(AM-PRD*),AM-PRD
130158,(C-V*),C-V
130159,(AM-PRD*),AM-PRD
130160,(C-V*),C-V
130161,(AM-PRD*),AM-PRD
130162,(C-V*),C-V
130163,(AM-PRD*),AM-PRD
130164,(C-V*),C-V
130165,(AM-PRD*),AM-PRD
130166,(C-V*),C-V
130167,(AM-PRD*),AM-PRD
130168,(C-V*),C-V
130169,(AM-PRD*),AM-PRD
130170,(C-V*),C-V
130171,(AM-PRD*),AM-PRD
130172,(C-V*),C-V
130173,(AM-PRD*),AM-PRD
130174,(C-V*),C-V
130175,(AM-PRD*),AM-PRD
130176,(AM-MED*),AM-MED
130177,(A5*),A5
130178,(AM-PRD*),AM-PRD
130179,(A5*),A5
130180,(AM-PRD*),AM-PRD
130181,(A5*),A5
130182,(AM-PRD*),AM-PRD
130183,(A5*),A5
130184,(AM-PRD*),AM-PRD
130185,(A5*),A5
130186,(AM-PRD*,AM-PRD
130187,*),AM-PRD
130188,(AM-MED*),AM-MED
130189,(AM-PRD*),AM-PRD
130190,(C-V*),C-V
130191,(AM-PRD*),AM-PRD
130192,(C-V*),C-V
130193,(AM-PRD*),AM-PRD
130194,(C-V*),C-V
130195,(AM-PRD*),AM-PRD
130196,(C-V*),C-V
130197,(AM-PRD*),AM-PRD
130198,(C-V*),C-V
130199,(AM-PRD*),AM-PRD
130200,(AM-MED*),AM-MED
130201,(C-V*),C-V
130202,(AM-PRD*),AM-PRD
130203,(C-V*),C-V
130204,(AM-PRD*),AM-PRD
130205,(C-V*),C-V
130206,(AM-PRD*),AM-PRD
130207,(C-V*),C-V
130208,(AM-PRD*),AM-PRD
130209,(C-V*),C-V
130210,(AM-PRD*),AM-PRD
130211,(C-V*),C-V
130212,(AM-PRD*),AM-PRD
130213,(C-V*),C-V
130214,(AM-PRD*),AM-PRD
130215,(C-V*),C-V
130216,(AM-PRD*),AM-PRD
130217,(C-V*),C-V
130218,(AM-PRD*),AM-PRD
130219,(C-V*),C-V
130220,(AM-PRD*),AM-PRD
130221,(C-V*),C-V
130222,(AM-PRD*),AM-PRD
130223,(AM-MED*),AM-MED
130224,(C-V*),C-V
130225,(AM-PRD*),AM-PRD
130226,(C-V*),C-V
130227,(AM-PRD*),AM-PRD
130228,(C-V*),C-V
130229,(AM-PRD*),AM-PRD
130230,(C-V*),C-V
130231,(AM-PRD*),AM-PRD
130232,(C-V*),C-V
130233,(AM-PRD*),AM-PRD
130234,(C-V*),C-V
130235,(AM-PRD*),AM-PRD
130236,(C-V*),C-V
130237,(AM-PRD*),AM-PRD
130238,(C-V*),C-V
130239,(AM-PRD*),AM-PRD
130240,(C-V*),C-V
130241,(AM-PRD*),AM-PRD
130242,(C-V*),C-V
130243,(AM-PRD*),AM-PRD
130244,(C-V*),C-V
130245,(AM-PRD*),AM-PRD
130246,(AM-MED*),AM-MED
130247,(C-AM-PNC*),C-AM-PNC
130248,(AM-PRD*),AM-PRD
130249,(C-AM-PNC*),C-AM-PNC
130250,(AM-PRD*),AM-PRD
130251,(C-V*),C-V
130252,(AM-PRD*),AM-PRD
130253,(C-V*),C-V
130254,(AM-PRD*),AM-PRD
130255,(C-V*),C-V
130256,(AM-PRD*),AM-PRD
130257,(C-V*),C-V
130258,(AM-PRD*),AM-PRD
130259,(C-V*),C-V
130260,(AM-PRD*),AM-PRD
130261,(C-V*),C-V
130262,(AM-PRD*),AM-PRD
130263,(C-V*),C-V
130264,(AM-PRD*),AM-PRD
130265,(C-AM-LOC*),C-AM-LOC
130266,(C-V*),C-V
130267,(AM-MED*),AM-MED
130268,(AM-PRD*),AM-PRD
130269,(AM-MED*),AM-MED
130270,(AM-PRD*),AM-PRD
130271,(C-V*),C-V
130272,(AM-PRD*),AM-PRD
130273,(C-V*),C-V
130274,(AM-PRD*),AM-PRD
130275,(C-V*),C-V
130276,(AM-PRD*),AM-PRD
130277,(C-V*),C-V
130278,(AM-PRD*),AM-PRD
130279,(C-V*),C-V
130280,(AM-PRD*),AM-PRD
130281,(C-V*),C-V
130282,(AM-PRD*),AM-PRD
130283,(C-V*),C-V
130284,(AM-PRD*),AM-PRD
130285,(C-V*),C-V
130286,(AM-PRD*),AM-PRD
130287,(C-V*),C-V
130288,(AM-PRD*),AM-PRD
130289,(A1*),A1
130290,(AM-PRD*),AM-PRD
130291,(C-AM-LOC*),C-AM-LOC
130292,(C-V*),C-V
130293,(AM-PRD*),AM-PRD
130294,(C-V*),C-V
130295,(AM-PRD*),AM-PRD
130296,(C-V*),C-V
130297,(AM-MED*,AM-MED
130298,*),AM-MED
130299,(AM-ADV*),AM-ADV
130300,(C-V*,C-V
130301,*,C-V
130302,*),C-V
130303,(AM-PRD*),AM-PRD
130304,(C-V*),C-V
130305,(AM-PRD*),AM-PRD
130306,(C-V*),C-V
130307,(AM-PRD*),AM-PRD
130308,(C-V*),C-V
130309,(AM-PRD*),AM-PRD
130310,(C-V*),C-V
130311,(AM-PRD*),AM-PRD
130312,(C-V*),C-V
130313,(AM-PRD*),AM-PRD
130314,(C-V*),C-V
130315,(AM-PRD*),AM-PRD
130316,(C-V*),C-V
130317,(AM-PRD*),AM-PRD
130318,(C-V*),C-V
130319,(AM-PRD*),AM-PRD
130320,(C-V*),C-V
130321,(AM-PRD*),AM-PRD
130322,(C-V*),C-V
130323,(AM-PRD*),AM-PRD
130324,(C-V*),C-V
130325,(AM-MED*,AM-MED
130326,*,AM-MED
130327,*),AM-MED
130328,(C-V*),C-V
130329,(AM-PRD*),AM-PRD
130330,(C-V*),C-V
130331,(AM-PRD*),AM-PRD
130332,(C-V*),C-V
130333,(AM-PRD*),AM-PRD
130334,(C-V*),C-V
130335,(AM-PRD*),AM-PRD
130336,(C-V*),C-V
130337,(AM-PRD*),AM-PRD
130338,(C-V*),C-V
130339,(AM-PRD*),AM-PRD
130340,(C-V*),C-V
130341,(AM-PRD*),AM-PRD
130342,(AM-MED*),AM-MED
130343,(C-V*),C-V
130344,(AM-PRD*),AM-PRD
130345,(C-V*),C-V
130346,(AM-PRD*),AM-PRD
130347,(C-V*),C-V
130348,(AM-PRD*),AM-PRD
130349,(C-V*),C-V
130350,(AM-PRD*),AM-PRD
130351,(C-V*),C-V
130352,(AM-PRD*),AM-PRD
130353,(C-V*),C-V
130354,(AM-PRD*),AM-PRD
130355,(C-V*),C-V
130356,(AM-PRD*),AM-PRD
130357,(C-V*),C-V
130358,(AM-PRD*),AM-PRD
130359,(C-V*),C-V
130360,(AM-PRD*),AM-PRD
130361,(AM-MED*),AM-MED
130362,(C-V*),C-V
130363,(AM-PRD*),AM-PRD
130364,(C-V*),C-V
130365,(AM-PRD*),AM-PRD
130366,(C-V*),C-V
130367,(AM-PRD*),AM-PRD
130368,(C-V*),C-V
130369,(AM-PRD*),AM-PRD
130370,(C-V*),C-V
130371,(AM-PRD*),AM-PRD
130372,(C-V*),C-V
130373,(AM-PRD*),AM-PRD
130374,(C-V*),C-V
130375,(AM-PRD*),AM-PRD
130376,(C-V*),C-V
130377,(AM-PRD*),AM-PRD
130378,(C-V*),C-V
130379,(AM-PRD*),AM-PRD
130380,(AM-MED*),AM-MED
130381,(AM-PRD*),AM-PRD
130382,(A5*),A5
130383,(AM-PRD*),AM-PRD
130384,(C-V*),C-V
130385,(AM-PRD*),AM-PRD
130386,(C-V*),C-V
130387,(AM-PRD*),AM-PRD
130388,(C-V*),C-V
130389,(AM-PRD*),AM-PRD
130390,(C-V*),C-V
130391,(AM-PRD*),AM-PRD
130392,(C-V*),C-V
130393,(AM-PRD*),AM-PRD
130394,(C-V*),C-V
130395,(AM-PRD*),AM-PRD
130396,(C-V*),C-V
130397,(AM-PRD*,AM-PRD
130398,*),AM-PRD
130399,(AM-MED*),AM-MED
130400,(AM-MED*),AM-MED
130401,(AM-PRD*,AM-PRD
130402,*,AM-PRD
130403,*,AM-PRD
130404,*,AM-PRD
130405,*),AM-PRD
130406,(AM-MED*,AM-MED
130407,*),AM-MED
130408,(AM-PRD*),AM-PRD
130409,(C-V*),C-V
130410,(AM-PRD*),AM-PRD
130411,(C-V*),C-V
130412,(AM-PRD*),AM-PRD
130413,(C-V*),C-V
130414,(AM-PRD*),AM-PRD
130415,(C-V*),C-V
130416,(AM-PRD*),AM-PRD
130417,(C-V*),C-V
130418,(AM-PRD*),AM-PRD
130419,(C-V*),C-V
130420,(AM-PRD*),AM-PRD
130421,(C-V*),C-V
130422,(AM-PRD*),AM-PRD
130423,(C-V*),C-V
130424,(AM-PRD*),AM-PRD
130425,(C-V*),C-V
130426,(AM-PRD*),AM-PRD
130427,(C-V*),C-V
130428,(AM-PRD*),AM-PRD
130429,(C-V*),C-V
130430,(AM-PRD*),AM-PRD
130431,(C-V*),C-V
130432,(AM-PRD*),AM-PRD
130433,(C-V*),C-V
130434,(AM-PRD*),AM-PRD
130435,(C-V*),C-V
130436,(AM-PRD*),AM-PRD
130437,(C-V*,C-V
130438,*),C-V
130439,(AM-MED*,AM-MED
130440,*),AM-MED
130441,(AM-PRD*),AM-PRD
130442,(C-V*),C-V
130443,(AM-PRD*),AM-PRD
130444,(C-V*),C-V
130445,(AM-PRD*),AM-PRD
130446,(C-V*),C-V
130447,(AM-PRD*),AM-PRD
130448,(C-V*),C-V
130449,(AM-PRD*),AM-PRD
130450,(C-V*),C-V
130451,(AM-PRD*),AM-PRD
130452,(C-V*),C-V
130453,(AM-PRD*),AM-PRD
130454,(C-V*),C-V
130455,(AM-PRD*),AM-PRD
130456,(C-V*),C-V
130457,(AM-PRD*),AM-PRD
130458,(C-V*),C-V
130459,(AM-PRD*),AM-PRD
130460,(C-V*),C-V
130461,(AM-PRD*),AM-PRD
130462,(C-V*),C-V
130463,(AM-PRD*),AM-PRD
130464,(C-V*),C-V
130465,(AM-PRD*),AM-PRD
130466,(C-V*),C-V
130467,(AM-PRD*),AM-PRD
130468,(C-AM-LOC*),C-AM-LOC
130469,(C-V*),C-V
130470,(AM-PRD*),AM-PRD
130471,(C-V*),C-V
130472,(AM-PRD*),AM-PRD
130473,(AM-MED*),AM-MED
130474,(AM-PRD*,AM-PRD
130475,*,AM-PRD
130476,*,AM-PRD
130477,*,AM-PRD
130478,*,AM-PRD
130479,*,AM-PRD
130480,*,AM-PRD
130481,*),AM-PRD
130482,(AM-MED*),AM-MED
130483,(AM-PRD*),AM-PRD
130484,(C-V*),C-V
130485,(AM-PRD*),AM-PRD
130486,(C-V*),C-V
130487,(AM-PRD*),AM-PRD
130488,(C-V*),C-V
130489,(AM-PRD*),AM-PRD
130490,(C-V*),C-V
130491,(AM-PRD*),AM-PRD
130492,(C-V*),C-V
130493,(AM-PRD*),AM-PRD
130494,(C-V*),C-V
130495,(AM-PRD*),AM-PRD
130496,(C-V*),C-V
130497,(AM-PRD*),AM-PRD
130498,(C-V*),C-V
130499,(AM-MED*),AM-MED
130500,(AM-REC*,AM-REC
130501,*,AM-REC
130502,*),AM-REC
130503,(AM-PRD*,AM-PRD
130504,*),AM-PRD
130505,(AM-REC*),AM-REC
130506,(C-V*),C-V
130507,(AM-PRD*),AM-PRD
130508,(C-V*),C-V
130509,(AM-PRD*),AM-PRD
130510,(C-V*),C-V
130511,(AM-PRD*),AM-PRD
130512,(C-V*),C-V
130513,(AM-PRD*),AM-PRD
130514,(C-V*),C-V
130515,(AM-PRD*,AM-PRD
130516,*,AM-PRD
130517,*,AM-PRD
130518,*),AM-PRD
130519,(AM-MED*),AM-MED
130520,(AM-PRD*),AM-PRD
130521,(C-V*),C-V
130522,(AM-PRD*),AM-PRD
130523,(C-V*),C-V
130524,(AM-PRD*),AM-PRD
130525,(C-V*),C-V
130526,(AM-PRD*),AM-PRD
130527,(C-V*),C-V
130528,(AM-PRD*),AM-PRD
130529,(C-V*),C-V
130530,(AM-PRD*),AM-PRD
130531,(C-V*),C-V
130532,(AM-PRD*),AM-PRD
130533,(C-V*),C-V
130534,(AM-PRD*),AM-PRD
130535,(C-V*),C-V
130536,(AM-PRD*),AM-PRD
130537,(C-AM-LOC*),C-AM-LOC
130538,(AM-PRD*),AM-PRD
130539,(AM-MED*),AM-MED
130540,(C-V*),C-V
130541,(AM-PRD*,AM-PRD
130542,*),AM-PRD
130543,(C-V*),C-V
130544,(AM-PRD*),AM-PRD
130545,(C-V*),C-V
130546,(AM-PRD*),AM-PRD
130547,(C-V*),C-V
130548,(AM-PRD*),AM-PRD
130549,(C-V*),C-V
130550,(AM-PRD*),AM-PRD
130551,(C-V*),C-V
130552,(AM-PRD*),AM-PRD
130553,(C-V*),C-V
130554,(AM-PRD*),AM-PRD
130555,(C-V*,C-V
130556,*),C-V
130557,(AM-PRD*,AM-PRD
130558,*),AM-PRD
130559,(AM-MED*),AM-MED
130560,(AM-PRD*),AM-PRD
130561,(C-V*),C-V
130562,(AM-PRD*),AM-PRD
130563,(C-V*),C-V
130564,(AM-PRD*),AM-PRD
130565,(C-V*),C-V
130566,(AM-PRD*),AM-PRD
130567,(C-AM-LOC*),C-AM-LOC
130568,(AM-PRD*),AM-PRD
130569,(AM-MED*),AM-MED
130570,(C-V*,C-V
130571,*,C-V
130572,*),C-V
130573,(AM-PRD*),AM-PRD
130574,(C-V*),C-V
130575,(AM-PRD*),AM-PRD
130576,(C-V*),C-V
