,FUNC+1,FUNC+2,FUNC+3,FUNC-1,FUNC-2,FUNC-3
63721,N<,>N,P<,SC,ADVL,ADVL
63722,>N,P<,PU,SC,SC,ADVL
63723,P<,PU,PU,N<,SC,SC
63724,PU,PU,,>N,N<,SC
63725,PU,,,P<,>N,N<
63726,,,,PU,P<,>N
63727,ADVL,STA,SC,,,
63728,STA,SC,SUB,SUBJ,,
63729,SC,SUB,>N,ADVL,SUBJ,
63730,SUB,>N,SUBJ,STA,ADVL,SUBJ
63731,>N,SUBJ,ADVL,SC,STA,ADVL
63732,SUBJ,ADVL,ACC,SUB,SC,STA
63733,ADVL,ACC,N<,>N,SUB,SC
63734,ACC,N<,PU,SUBJ,>N,SUB
63735,N<,PU,,ADVL,SUBJ,>N
63736,PU,,,ACC,ADVL,SUBJ
63737,,,,N<,ACC,ADVL
63738,ADVL,STA,SC,,,
63739,STA,SC,SUB,SUBJ,,
63740,SC,SUB,>N,ADVL,SUBJ,
63741,SUB,>N,SUBJ,STA,ADVL,SUBJ
63742,>N,SUBJ,ADVL,SC,STA,ADVL
63743,SUBJ,ADVL,ACC,SUB,SC,STA
63744,ADVL,ACC,N<,>N,SUB,SC
63745,ACC,N<,PU,SUBJ,>N,SUB
63746,N<,PU,,ADVL,SUBJ,>N
63747,PU,,,ACC,ADVL,SUBJ
63748,,,,N<,ACC,ADVL
63749,>N,P<,N<,,,
63750,P<,N<,>N,ADVL,,
63751,N<,>N,P<,>N,ADVL,
63752,>N,P<,PU,P<,>N,ADVL
63753,P<,PU,APP,N<,P<,>N
63754,PU,APP,PU,>N,N<,P<
63755,APP,PU,N<PRED,P<,>N,N<
63756,PU,N<PRED,PU,PU,P<,>N
63757,N<PRED,PU,>N,APP,PU,P<
63758,PU,>N,SUBJ,PU,APP,PU
63759,>N,SUBJ,N<,N<PRED,PU,APP
63760,SUBJ,N<,STA,PU,N<PRED,PU
63761,N<,STA,MV,>N,PU,N<PRED
63762,STA,MV,ADVL,SUBJ,>N,PU
63763,MV,ADVL,P<,N<,SUBJ,>N
63764,ADVL,P<,>N,STA,N<,SUBJ
63765,P<,>N,ACC,MV,STA,N<
63766,>N,ACC,CO,ADVL,MV,STA
63767,ACC,CO,CJT,P<,ADVL,MV
63768,CO,CJT,N<,>N,P<,ADVL
63769,CJT,N<,P<,ACC,>N,P<
63770,N<,P<,N<,CO,ACC,>N
63771,P<,N<,P<,CJT,CO,ACC
63772,N<,P<,N<,N<,CJT,CO
63773,P<,N<,P<,P<,N<,CJT
63774,N<,P<,PU,N<,P<,N<
63775,P<,PU,CJT,P<,N<,P<
63776,PU,CJT,N<,N<,P<,N<
63777,CJT,N<,CO,P<,N<,P<
63778,N<,CO,CJT,PU,P<,N<
63779,CO,CJT,N<,CJT,PU,P<
63780,CJT,N<,PU,N<,CJT,PU
63781,N<,PU,,CO,N<,CJT
63782,PU,,,CJT,CO,N<
63783,,,,N<,CJT,CO
63784,>N,P<,N<,,,
63785,P<,N<,>N,ADVL,,
63786,N<,>N,P<,>N,ADVL,
63787,>N,P<,PU,P<,>N,ADVL
63788,P<,PU,APP,N<,P<,>N
63789,PU,APP,PU,>N,N<,P<
63790,APP,PU,N<PRED,P<,>N,N<
63791,PU,N<PRED,PU,PU,P<,>N
63792,N<PRED,PU,>N,APP,PU,P<
63793,PU,>N,SUBJ,PU,APP,PU
63794,>N,SUBJ,N<,N<PRED,PU,APP
63795,SUBJ,N<,STA,PU,N<PRED,PU
63796,N<,STA,MV,>N,PU,N<PRED
63797,STA,MV,ADVL,SUBJ,>N,PU
63798,MV,ADVL,P<,N<,SUBJ,>N
63799,ADVL,P<,>N,STA,N<,SUBJ
63800,P<,>N,ACC,MV,STA,N<
63801,>N,ACC,CO,ADVL,MV,STA
63802,ACC,CO,CJT,P<,ADVL,MV
63803,CO,CJT,N<,>N,P<,ADVL
63804,CJT,N<,P<,ACC,>N,P<
63805,N<,P<,N<,CO,ACC,>N
63806,P<,N<,P<,CJT,CO,ACC
63807,N<,P<,N<,N<,CJT,CO
63808,P<,N<,P<,P<,N<,CJT
63809,N<,P<,PU,N<,P<,N<
63810,P<,PU,CJT,P<,N<,P<
63811,PU,CJT,N<,N<,P<,N<
63812,CJT,N<,CO,P<,N<,P<
63813,N<,CO,CJT,PU,P<,N<
63814,CO,CJT,N<,CJT,PU,P<
63815,CJT,N<,PU,N<,CJT,PU
63816,N<,PU,,CO,N<,CJT
63817,PU,,,CJT,CO,N<
63818,,,,N<,CJT,CO
63819,>N,P<,PU,,,
63820,P<,PU,>N,ADVL,,
63821,PU,>N,SUBJ,>N,ADVL,
63822,>N,SUBJ,STA,P<,>N,ADVL
63823,SUBJ,STA,ACC,PU,P<,>N
63824,STA,ACC,PIV,>N,PU,P<
63825,ACC,PIV,>N,SUBJ,>N,PU
63826,PIV,>N,P<,STA,SUBJ,>N
63827,>N,P<,PU,ACC,STA,SUBJ
63828,P<,PU,,PIV,ACC,STA
63829,PU,,,>N,PIV,ACC
63830,,,,P<,>N,PIV
63831,SUBJ,STA,ACC,,,
63832,STA,ACC,N<,>N,,
63833,ACC,N<,ADVL,SUBJ,>N,
63834,N<,ADVL,>N,STA,SUBJ,>N
63835,ADVL,>N,P<,ACC,STA,SUBJ
63836,>N,P<,CO,N<,ACC,STA
63837,P<,CO,CJT,ADVL,N<,ACC
63838,CO,CJT,>N,>N,ADVL,N<
63839,CJT,>N,ACC,P<,>N,ADVL
63840,>N,ACC,N<,CO,P<,>N
63841,ACC,N<,ADVL,CJT,CO,P<
63842,N<,ADVL,>N,>N,CJT,CO
63843,ADVL,>N,P<,ACC,>N,CJT
63844,>N,P<,PU,N<,ACC,>N
63845,P<,PU,,ADVL,N<,ACC
63846,PU,,,>N,ADVL,N<
63847,,,,P<,>N,ADVL
63848,STA,ACC,ADVL,,,
63849,ACC,ADVL,,SUBJ,,
63850,ADVL,,,STA,SUBJ,
63851,,,,ACC,STA,SUBJ
63852,STA,>N,ACC,,,
63853,>N,ACC,N<,SUBJ,,
63854,ACC,N<,ADVL,STA,SUBJ,
63855,N<,ADVL,>N,>N,STA,SUBJ
63856,ADVL,>N,P<,ACC,>N,STA
63857,>N,P<,N<,N<,ACC,>N
63858,P<,N<,P<,ADVL,N<,ACC
63859,N<,P<,PU,>N,ADVL,N<
63860,P<,PU,SUBJ,P<,>N,ADVL
63861,PU,SUBJ,ACC,N<,P<,>N
63862,SUBJ,ACC,N<PRED,P<,N<,P<
63863,ACC,N<PRED,PIV,PU,P<,N<
63864,N<PRED,PIV,>N,SUBJ,PU,P<
63865,PIV,>N,>N,ACC,SUBJ,PU
63866,>N,>N,P<,N<PRED,ACC,SUBJ
63867,>N,P<,CO,PIV,N<PRED,ACC
63868,P<,CO,CJT,>N,PIV,N<PRED
63869,CO,CJT,,>N,>N,PIV
63870,CJT,,,P<,>N,>N
63871,,,,CO,P<,>N
63872,STA,ADVL,MV,,,
63873,ADVL,MV,PASS,SUBJ,,
63874,MV,PASS,>N,STA,SUBJ,
63875,PASS,>N,P<,ADVL,STA,SUBJ
63876,>N,P<,N<,MV,ADVL,STA
63877,P<,N<,PU,PASS,MV,ADVL
63878,N<,PU,,>N,PASS,MV
63879,PU,,,P<,>N,PASS
63880,,,,N<,P<,>N
63881,>N,SUBJ,STA,,,
63882,SUBJ,STA,MV,CO,,
63883,STA,MV,SUB,>N,CO,
63884,MV,SUB,>N,SUBJ,>N,CO
63885,SUB,>N,SUBJ,STA,SUBJ,>N
63886,>N,SUBJ,ADVL,MV,STA,SUBJ
63887,SUBJ,ADVL,ACC,SUB,MV,STA
63888,ADVL,ACC,>N,>N,SUB,MV
63889,ACC,>N,SC,SUBJ,>N,SUB
63890,>N,SC,PU,ADVL,SUBJ,>N
63891,SC,PU,,ACC,ADVL,SUBJ
63892,PU,,,>N,ACC,ADVL
63893,,,,SC,>N,ACC
63894,SUBJ,STA,>N,,,
63895,STA,>N,>N,>N,,
63896,>N,>N,ACC,SUBJ,>N,
63897,>N,ACC,N<,STA,SUBJ,>N
63898,ACC,N<,P<,>N,STA,SUBJ
63899,N<,P<,N<,>N,>N,STA
63900,P<,N<,CO,ACC,>N,>N
63901,N<,CO,SUBJ,N<,ACC,>N
63902,CO,SUBJ,CJT,P<,N<,ACC
63903,SUBJ,CJT,>N,N<,P<,N<
63904,CJT,>N,ACC,CO,N<,P<
63905,>N,ACC,CO,SUBJ,CO,N<
63906,ACC,CO,>N,CJT,SUBJ,CO
63907,CO,>N,CJT,>N,CJT,SUBJ
63908,>N,CJT,N<,ACC,>N,CJT
63909,CJT,N<,>N,CO,ACC,>N
63910,N<,>N,P<,>N,CO,ACC
63911,>N,P<,PU,CJT,>N,CO
63912,P<,PU,,N<,CJT,>N
63913,PU,,,>N,N<,CJT
63914,,,,P<,>N,N<
63915,SUBJ,STA,>N,,,
63916,STA,>N,>N,>N,,
63917,>N,>N,ACC,SUBJ,>N,
63918,>N,ACC,N<,STA,SUBJ,>N
63919,ACC,N<,P<,>N,STA,SUBJ
63920,N<,P<,N<,>N,>N,STA
63921,P<,N<,CO,ACC,>N,>N
63922,N<,CO,SUBJ,N<,ACC,>N
63923,CO,SUBJ,CJT,P<,N<,ACC
63924,SUBJ,CJT,>N,N<,P<,N<
63925,CJT,>N,ACC,CO,N<,P<
63926,>N,ACC,CO,SUBJ,CO,N<
63927,ACC,CO,>N,CJT,SUBJ,CO
63928,CO,>N,CJT,>N,CJT,SUBJ
63929,>N,CJT,N<,ACC,>N,CJT
63930,CJT,N<,>N,CO,ACC,>N
63931,N<,>N,P<,>N,CO,ACC
63932,>N,P<,PU,CJT,>N,CO
63933,P<,PU,,N<,CJT,>N
63934,PU,,,>N,N<,CJT
63935,,,,P<,>N,N<
63936,SUBJ,N<,CO,,,
63937,N<,CO,>N,>N,,
63938,CO,>N,CJT,SUBJ,>N,
63939,>N,CJT,ACC,N<,SUBJ,>N
63940,CJT,ACC,STA,CO,N<,SUBJ
63941,ACC,STA,ADVL,>N,CO,N<
63942,STA,ADVL,>N,CJT,>N,CO
63943,ADVL,>N,>N,ACC,CJT,>N
63944,>N,>N,P<,STA,ACC,CJT
63945,>N,P<,ADVL,ADVL,STA,ACC
63946,P<,ADVL,P<,>N,ADVL,STA
63947,ADVL,P<,N<,>N,>N,ADVL
63948,P<,N<,>N,P<,>N,>N
63949,N<,>N,P<,ADVL,P<,>N
63950,>N,P<,ADVL,P<,ADVL,P<
63951,P<,ADVL,P<,N<,P<,ADVL
63952,ADVL,P<,ACC,>N,N<,P<
63953,P<,ACC,N<,P<,>N,N<
63954,ACC,N<,>N,ADVL,P<,>N
63955,N<,>N,P<,P<,ADVL,P<
63956,>N,P<,N<,ACC,P<,ADVL
63957,P<,N<,N<,N<,ACC,P<
63958,N<,N<,>N,>N,N<,ACC
63959,N<,>N,>N,P<,>N,N<
63960,>N,>N,P<,N<,P<,>N
63961,>N,P<,N<,N<,N<,P<
63962,P<,N<,>N,>N,N<,N<
63963,N<,>N,P<,>N,>N,N<
63964,>N,P<,PU,P<,>N,>N
63965,P<,PU,,N<,P<,>N
63966,PU,,,>N,N<,P<
63967,,,,P<,>N,N<
63968,SUBJ,N<,CO,,,
63969,N<,CO,>N,>N,,
63970,CO,>N,CJT,SUBJ,>N,
63971,>N,CJT,ACC,N<,SUBJ,>N
63972,CJT,ACC,STA,CO,N<,SUBJ
63973,ACC,STA,ADVL,>N,CO,N<
63974,STA,ADVL,>N,CJT,>N,CO
63975,ADVL,>N,>N,ACC,CJT,>N
63976,>N,>N,P<,STA,ACC,CJT
63977,>N,P<,ADVL,ADVL,STA,ACC
63978,P<,ADVL,P<,>N,ADVL,STA
63979,ADVL,P<,N<,>N,>N,ADVL
63980,P<,N<,>N,P<,>N,>N
63981,N<,>N,P<,ADVL,P<,>N
63982,>N,P<,ADVL,P<,ADVL,P<
63983,P<,ADVL,P<,N<,P<,ADVL
63984,ADVL,P<,ACC,>N,N<,P<
63985,P<,ACC,N<,P<,>N,N<
63986,ACC,N<,>N,ADVL,P<,>N
63987,N<,>N,P<,P<,ADVL,P<
63988,>N,P<,N<,ACC,P<,ADVL
63989,P<,N<,N<,N<,ACC,P<
63990,N<,N<,>N,>N,N<,ACC
63991,N<,>N,>N,P<,>N,N<
63992,>N,>N,P<,N<,P<,>N
63993,>N,P<,N<,N<,N<,P<
63994,P<,N<,>N,>N,N<,N<
63995,N<,>N,P<,>N,>N,N<
63996,>N,P<,PU,P<,>N,>N
63997,P<,PU,,N<,P<,>N
63998,PU,,,>N,N<,P<
63999,,,,P<,>N,N<
64000,SUBJ,N<,STA,,,
64001,N<,STA,SUB,>N,,
64002,STA,SUB,>N,SUBJ,>N,
64003,SUB,>N,SUBJ,N<,SUBJ,>N
64004,>N,SUBJ,>A,STA,N<,SUBJ
64005,SUBJ,>A,N<,SUB,STA,N<
64006,>A,N<,A<,>N,SUB,STA
64007,N<,A<,P<,SUBJ,>N,SUB
64008,A<,P<,N<,>A,SUBJ,>N
64009,P<,N<,>N,N<,>A,SUBJ
64010,N<,>N,P<,A<,N<,>A
64011,>N,P<,ACC,P<,A<,N<
64012,P<,ACC,PU,N<,P<,A<
64013,ACC,PU,SC,>N,N<,P<
64014,PU,SC,PU,P<,>N,N<
64015,SC,PU,CJT,ACC,P<,>N
64016,PU,CJT,PU,PU,ACC,P<
64017,CJT,PU,CJT,SC,PU,ACC
64018,PU,CJT,PU,PU,SC,PU
64019,CJT,PU,CJT,CJT,PU,SC
64020,PU,CJT,PU,PU,CJT,PU
64021,CJT,PU,CJT,CJT,PU,CJT
64022,PU,CJT,CO,PU,CJT,PU
64023,CJT,CO,CJT,CJT,PU,CJT
64024,CO,CJT,PU,PU,CJT,PU
64025,CJT,PU,,CJT,PU,CJT
64026,PU,,,CO,CJT,PU
64027,,,,CJT,CO,CJT
64028,P<,PU,SUBJ,,,
64029,PU,SUBJ,PU,ADVL,,
64030,SUBJ,PU,N<PRED,P<,ADVL,
64031,PU,N<PRED,PIV,PU,P<,ADVL
64032,N<PRED,PIV,>N,SUBJ,PU,P<
64033,PIV,>N,P<,PU,SUBJ,PU
64034,>N,P<,N<,N<PRED,PU,SUBJ
64035,P<,N<,CO,PIV,N<PRED,PU
64036,N<,CO,CJT,>N,PIV,N<PRED
64037,CO,CJT,N<,P<,>N,PIV
64038,CJT,N<,P<,N<,P<,>N
64039,N<,P<,N<,CO,N<,P<
64040,P<,N<,PU,CJT,CO,N<
64041,N<,PU,N<PRED,N<,CJT,CO
64042,PU,N<PRED,P<,P<,N<,CJT
64043,N<PRED,P<,PU,N<,P<,N<
64044,P<,PU,STA,PU,N<,P<
64045,PU,STA,PU,N<PRED,PU,N<
64046,STA,PU,SC,P<,N<PRED,PU
64047,PU,SC,ADVL,PU,P<,N<PRED
64048,SC,ADVL,>N,STA,PU,P<
64049,ADVL,>N,P<,PU,STA,PU
64050,>N,P<,N<,SC,PU,STA
64051,P<,N<,>N,ADVL,SC,PU
64052,N<,>N,P<,>N,ADVL,SC
64053,>N,P<,PU,P<,>N,ADVL
64054,P<,PU,PU,N<,P<,>N
64055,PU,PU,,>N,N<,P<
64056,PU,,,P<,>N,N<
64057,,,,PU,P<,>N
64058,STA,SA,>N,,,
64059,SA,>N,P<,ADVL,,
64060,>N,P<,SUBJ,STA,ADVL,
64061,P<,SUBJ,PU,SA,STA,ADVL
64062,SUBJ,PU,N<PRED,>N,SA,STA
64063,PU,N<PRED,N<,P<,>N,SA
64064,N<PRED,N<,P<,SUBJ,P<,>N
64065,N<,P<,PU,PU,SUBJ,P<
64066,P<,PU,,N<PRED,PU,SUBJ
64067,PU,,,N<,N<PRED,PU
64068,,,,P<,N<,N<PRED
64069,STA,ACC,>N,,,
64070,ACC,>N,ADVL,SUBJ,,
64071,>N,ADVL,N<,STA,SUBJ,
64072,ADVL,N<,PU,ACC,STA,SUBJ
64073,N<,PU,N<PRED,>N,ACC,STA
64074,PU,N<PRED,>N,ADVL,>N,ACC
64075,N<PRED,>N,P<,N<,ADVL,>N
64076,>N,P<,PU,PU,N<,ADVL
64077,P<,PU,CJT,N<PRED,PU,N<
64078,PU,CJT,P<,>N,N<PRED,PU
64079,CJT,P<,N<,P<,>N,N<PRED
64080,P<,N<,CO,PU,P<,>N
64081,N<,CO,CJT,CJT,PU,P<
64082,CO,CJT,P<,P<,CJT,PU
64083,CJT,P<,SUBJ,N<,P<,CJT
64084,P<,SUBJ,N<,CO,N<,P<
64085,SUBJ,N<,ACC,CJT,CO,N<
64086,N<,ACC,PU,P<,CJT,CO
64087,ACC,PU,,SUBJ,P<,CJT
64088,PU,,,N<,SUBJ,P<
64089,,,,ACC,N<,SUBJ
64090,STA,ACC,>N,,,
64091,ACC,>N,ADVL,SUBJ,,
64092,>N,ADVL,N<,STA,SUBJ,
64093,ADVL,N<,PU,ACC,STA,SUBJ
64094,N<,PU,N<PRED,>N,ACC,STA
64095,PU,N<PRED,>N,ADVL,>N,ACC
64096,N<PRED,>N,P<,N<,ADVL,>N
64097,>N,P<,PU,PU,N<,ADVL
64098,P<,PU,CJT,N<PRED,PU,N<
64099,PU,CJT,P<,>N,N<PRED,PU
64100,CJT,P<,N<,P<,>N,N<PRED
64101,P<,N<,CO,PU,P<,>N
64102,N<,CO,CJT,CJT,PU,P<
64103,CO,CJT,P<,P<,CJT,PU
64104,CJT,P<,SUBJ,N<,P<,CJT
64105,P<,SUBJ,N<,CO,N<,P<
64106,SUBJ,N<,ACC,CJT,CO,N<
64107,N<,ACC,PU,P<,CJT,CO
64108,ACC,PU,,SUBJ,P<,CJT
64109,PU,,,N<,SUBJ,P<
64110,,,,ACC,N<,SUBJ
64111,SUBJ,N<,>N,,,
64112,N<,>N,P<,>N,,
64113,>N,P<,STA,SUBJ,>N,
64114,P<,STA,ADVL,N<,SUBJ,>N
64115,STA,ADVL,P<,>N,N<,SUBJ
64116,ADVL,P<,ADVL,P<,>N,N<
64117,P<,ADVL,>N,STA,P<,>N
64118,ADVL,>N,P<,ADVL,STA,P<
64119,>N,P<,N<,P<,ADVL,STA
64120,P<,N<,P<,ADVL,P<,ADVL
64121,N<,P<,N<,>N,ADVL,P<
64122,P<,N<,>N,P<,>N,ADVL
64123,N<,>N,P<,N<,P<,>N
64124,>N,P<,N<,P<,N<,P<
64125,P<,N<,>N,N<,P<,N<
64126,N<,>N,>N,>N,N<,P<
64127,>N,>N,P<,P<,>N,N<
64128,>N,P<,PU,N<,P<,>N
64129,P<,PU,APP,>N,N<,P<
64130,PU,APP,PU,>N,>N,N<
64131,APP,PU,SUBJ,P<,>N,>N
64132,PU,SUBJ,N<PRED,PU,P<,>N
64133,SUBJ,N<PRED,SA,APP,PU,P<
64134,N<PRED,SA,P<,PU,APP,PU
64135,SA,P<,ADVL,SUBJ,PU,APP
64136,P<,ADVL,>N,N<PRED,SUBJ,PU
64137,ADVL,>N,P<,SA,N<PRED,SUBJ
64138,>N,P<,PU,P<,SA,N<PRED
64139,P<,PU,,ADVL,P<,SA
64140,PU,,,>N,ADVL,P<
64141,,,,P<,>N,ADVL
64142,SUBJ,N<,>N,,,
64143,N<,>N,P<,>N,,
64144,>N,P<,STA,SUBJ,>N,
64145,P<,STA,ADVL,N<,SUBJ,>N
64146,STA,ADVL,P<,>N,N<,SUBJ
64147,ADVL,P<,ADVL,P<,>N,N<
64148,P<,ADVL,>N,STA,P<,>N
64149,ADVL,>N,P<,ADVL,STA,P<
64150,>N,P<,N<,P<,ADVL,STA
64151,P<,N<,P<,ADVL,P<,ADVL
64152,N<,P<,N<,>N,ADVL,P<
64153,P<,N<,>N,P<,>N,ADVL
64154,N<,>N,P<,N<,P<,>N
64155,>N,P<,N<,P<,N<,P<
64156,P<,N<,>N,N<,P<,N<
64157,N<,>N,>N,>N,N<,P<
64158,>N,>N,P<,P<,>N,N<
64159,>N,P<,PU,N<,P<,>N
64160,P<,PU,APP,>N,N<,P<
64161,PU,APP,PU,>N,>N,N<
64162,APP,PU,SUBJ,P<,>N,>N
64163,PU,SUBJ,N<PRED,PU,P<,>N
64164,SUBJ,N<PRED,SA,APP,PU,P<
64165,N<PRED,SA,P<,PU,APP,PU
64166,SA,P<,ADVL,SUBJ,PU,APP
64167,P<,ADVL,>N,N<PRED,SUBJ,PU
64168,ADVL,>N,P<,SA,N<PRED,SUBJ
64169,>N,P<,PU,P<,SA,N<PRED
64170,P<,PU,,ADVL,P<,SA
64171,PU,,,>N,ADVL,P<
64172,,,,P<,>N,ADVL
64173,SUBJ,N<,>N,,,
64174,N<,>N,P<,>N,,
64175,>N,P<,STA,SUBJ,>N,
64176,P<,STA,ADVL,N<,SUBJ,>N
64177,STA,ADVL,P<,>N,N<,SUBJ
64178,ADVL,P<,ADVL,P<,>N,N<
64179,P<,ADVL,>N,STA,P<,>N
64180,ADVL,>N,P<,ADVL,STA,P<
64181,>N,P<,N<,P<,ADVL,STA
64182,P<,N<,P<,ADVL,P<,ADVL
64183,N<,P<,N<,>N,ADVL,P<
64184,P<,N<,>N,P<,>N,ADVL
64185,N<,>N,P<,N<,P<,>N
64186,>N,P<,N<,P<,N<,P<
64187,P<,N<,>N,N<,P<,N<
64188,N<,>N,>N,>N,N<,P<
64189,>N,>N,P<,P<,>N,N<
64190,>N,P<,PU,N<,P<,>N
64191,P<,PU,APP,>N,N<,P<
64192,PU,APP,PU,>N,>N,N<
64193,APP,PU,SUBJ,P<,>N,>N
64194,PU,SUBJ,N<PRED,PU,P<,>N
64195,SUBJ,N<PRED,SA,APP,PU,P<
64196,N<PRED,SA,P<,PU,APP,PU
64197,SA,P<,ADVL,SUBJ,PU,APP
64198,P<,ADVL,>N,N<PRED,SUBJ,PU
64199,ADVL,>N,P<,SA,N<PRED,SUBJ
64200,>N,P<,PU,P<,SA,N<PRED
64201,P<,PU,,ADVL,P<,SA
64202,PU,,,>N,ADVL,P<
64203,,,,P<,>N,ADVL
64204,SA,>N,P<,,,
64205,>N,P<,ADVL,STA,,
64206,P<,ADVL,>N,SA,STA,
64207,ADVL,>N,P<,>N,SA,STA
64208,>N,P<,N<,P<,>N,SA
64209,P<,N<,P<,ADVL,P<,>N
64210,N<,P<,PU,>N,ADVL,P<
64211,P<,PU,APP,P<,>N,ADVL
64212,PU,APP,PU,N<,P<,>N
64213,APP,PU,CO,P<,N<,P<
64214,PU,CO,>N,PU,P<,N<
64215,CO,>N,CJT,APP,PU,P<
64216,>N,CJT,N<,PU,APP,PU
64217,CJT,N<,>N,CO,PU,APP
64218,N<,>N,P<,>N,CO,PU
64219,>N,P<,N<,CJT,>N,CO
64220,P<,N<,>N,N<,CJT,>N
64221,N<,>N,P<,>N,N<,CJT
64222,>N,P<,PU,P<,>N,N<
64223,P<,PU,APP,N<,P<,>N
64224,PU,APP,PU,>N,N<,P<
64225,APP,PU,N<PRED,P<,>N,N<
64226,PU,N<PRED,PU,PU,P<,>N
64227,N<PRED,PU,PU,APP,PU,P<
64228,PU,PU,CO,PU,APP,PU
64229,PU,CO,CJT,N<PRED,PU,APP
64230,CO,CJT,>N,PU,N<PRED,PU
64231,CJT,>N,P<,PU,PU,N<PRED
64232,>N,P<,PU,CO,PU,PU
64233,P<,PU,APP,CJT,CO,PU
64234,PU,APP,PU,>N,CJT,CO
64235,APP,PU,N<PRED,P<,>N,CJT
64236,PU,N<PRED,PU,PU,P<,>N
64237,N<PRED,PU,CO,APP,PU,P<
64238,PU,CO,CJT,PU,APP,PU
64239,CO,CJT,PU,N<PRED,PU,APP
64240,CJT,PU,N<PRED,PU,N<PRED,PU
64241,PU,N<PRED,PU,CO,PU,N<PRED
64242,N<PRED,PU,PU,CJT,CO,PU
64243,PU,PU,,PU,CJT,CO
64244,PU,,,N<PRED,PU,CJT
64245,,,,PU,N<PRED,PU
64246,STA,ACC,N<,,,
64247,ACC,N<,>N,SUBJ,,
64248,N<,>N,P<,STA,SUBJ,
64249,>N,P<,N<,ACC,STA,SUBJ
64250,P<,N<,P<,N<,ACC,STA
64251,N<,P<,CO,>N,N<,ACC
64252,P<,CO,CJT,P<,>N,N<
64253,CO,CJT,PU,N<,P<,>N
64254,CJT,PU,,P<,N<,P<
64255,PU,,,CO,P<,N<
64256,,,,CJT,CO,P<
64257,STA,MV,ADVL,,,
64258,MV,ADVL,P<,SUBJ,,
64259,ADVL,P<,ADVL,STA,SUBJ,
64260,P<,ADVL,>N,MV,STA,SUBJ
64261,ADVL,>N,SUBJ,ADVL,MV,STA
64262,>N,SUBJ,ADVL,P<,ADVL,MV
64263,SUBJ,ADVL,SC,ADVL,P<,ADVL
64264,ADVL,SC,PU,>N,ADVL,P<
64265,SC,PU,,SUBJ,>N,ADVL
64266,PU,,,ADVL,SUBJ,>N
64267,,,,SC,ADVL,SUBJ
64268,SUBJ,PU,N<PRED,,,
64269,PU,N<PRED,ADVL,>N,,
64270,N<PRED,ADVL,P<,SUBJ,>N,
64271,ADVL,P<,PU,PU,SUBJ,>N
64272,P<,PU,STA,N<PRED,PU,SUBJ
64273,PU,STA,ACC,ADVL,N<PRED,PU
64274,STA,ACC,>N,P<,ADVL,N<PRED
64275,ACC,>N,ACC,PU,P<,ADVL
64276,>N,ACC,N<,STA,PU,P<
64277,ACC,N<,ACC,ACC,STA,PU
64278,N<,ACC,P<,>N,ACC,STA
64279,ACC,P<,ADVL,ACC,>N,ACC
64280,P<,ADVL,P<,N<,ACC,>N
64281,ADVL,P<,N<,ACC,N<,ACC
64282,P<,N<,>N,P<,ACC,N<
64283,N<,>N,P<,ADVL,P<,ACC
64284,>N,P<,PU,P<,ADVL,P<
64285,P<,PU,,N<,P<,ADVL
64286,PU,,,>N,N<,P<
64287,,,,P<,>N,N<
64288,SUBJ,PU,N<PRED,,,
64289,PU,N<PRED,ADVL,>N,,
64290,N<PRED,ADVL,P<,SUBJ,>N,
64291,ADVL,P<,PU,PU,SUBJ,>N
64292,P<,PU,STA,N<PRED,PU,SUBJ
64293,PU,STA,ACC,ADVL,N<PRED,PU
64294,STA,ACC,>N,P<,ADVL,N<PRED
64295,ACC,>N,ACC,PU,P<,ADVL
64296,>N,ACC,N<,STA,PU,P<
64297,ACC,N<,ACC,ACC,STA,PU
64298,N<,ACC,P<,>N,ACC,STA
64299,ACC,P<,ADVL,ACC,>N,ACC
64300,P<,ADVL,P<,N<,ACC,>N
64301,ADVL,P<,N<,ACC,N<,ACC
64302,P<,N<,>N,P<,ACC,N<
64303,N<,>N,P<,ADVL,P<,ACC
64304,>N,P<,PU,P<,ADVL,P<
64305,P<,PU,,N<,P<,ADVL
64306,PU,,,>N,N<,P<
64307,,,,P<,>N,N<
64308,PRED,PIV,>N,,,
64309,PIV,>N,P<,ADVL,,
64310,>N,P<,PU,PRED,ADVL,
64311,P<,PU,>N,PIV,PRED,ADVL
64312,PU,>N,SUBJ,>N,PIV,PRED
64313,>N,SUBJ,ACC,P<,>N,PIV
64314,SUBJ,ACC,STA,PU,P<,>N
64315,ACC,STA,>A,>N,PU,P<
64316,STA,>A,ADVL,SUBJ,>N,PU
64317,>A,ADVL,OC,ACC,SUBJ,>N
64318,ADVL,OC,ADVL,STA,ACC,SUBJ
64319,OC,ADVL,>N,>A,STA,ACC
64320,ADVL,>N,>N,ADVL,>A,STA
64321,>N,>N,P<,OC,ADVL,>A
64322,>N,P<,PU,ADVL,OC,ADVL
64323,P<,PU,,>N,ADVL,OC
64324,PU,,,>N,>N,ADVL
64325,,,,P<,>N,>N
64326,>N,P<,PU,,,
64327,P<,PU,>N,ADVL,,
64328,PU,>N,SUBJ,>N,ADVL,
64329,>N,SUBJ,STA,P<,>N,ADVL
64330,SUBJ,STA,SA,PU,P<,>N
64331,STA,SA,P<,>N,PU,P<
64332,SA,P<,ADVL,SUBJ,>N,PU
64333,P<,ADVL,P<,STA,SUBJ,>N
